,word,x,y,z
1080,Johnson,-6.5019137041,3.86889044897,5.6709308857
1082,Malfoy,-1.77938923347,-7.52492396544,-0.0127886540456
1087,Give,-3.86833142867,-9.27475325112,-10.7965514388
1095,Sir,15.3151546624,3.0744904766,-4.40888130883
1098,Hufflepuffs,-17.9256627009,-2.06934749561,-2.27513360327
1104,Leaky,14.4271315148,12.3481303101,1.86520067033
1117,Hurry,4.57745868277,8.67855987603,8.82308336345
1142,Better,9.14980303064,3.87021761669,5.94552708194
1153,Excuse,-3.76331975539,-8.52635711644,8.15880277301
1166,Potions,11.8136121039,15.4797771852,0.828893188433
1167,Patil,15.2974127377,12.0830428475,8.75532202415
1169,Is,-5.39793769853,-2.92553839197,6.03098738463
1192,Ravenclaw,13.440361417,-3.06690580975,8.45594304076
1197,Her,12.2822792659,3.01575577911,3.43236105284
1214,Aunt,10.1415265911,-0.410139681539,-0.6472533177
1225,London,-0.0274163356989,-5.25040227874,-2.95684268767
1229,Rubeus,-8.07344580659,-4.95341623038,11.1731610253
1230,Before,-4.41866148121,-7.5362697797,-7.83346135226
1234,Potter,5.48946447454,-3.91496255491,-11.467049447
1235,Master,8.54970984075,-8.38931738349,0.959388626242
1237,Mars,-4.63407734339,-1.608672291,7.2492819551
1239,Listen,-1.04454299228,-6.43202735074,-9.08809044829
1240,Hufflepuff,13.7886047707,-3.41289373807,9.18131265276
1269,Criag,5.45813083397,9.28012103841,6.8520676898
1284,Seekers,-3.36694256427,-0.729528055805,4.19877096885
1290,Harry,11.5988125276,-2.3734637273,1.66166410844
1291,mice,8.25066884715,3.34855839248,4.52041288818
1294,Guide,-15.3176121449,1.28375443198,-3.44855789317
1299,House,-6.52214186365,2.57165121335,0.678573660741
1301,Cauldron,14.3610241036,12.5261195541,2.36217732218
1316,Ginny,-0.700022477841,-5.60507281615,-8.90830707337
1325,Transfiguration,-9.32867210341,-5.98959340993,5.35676436672
1326,Dark,-0.603319147912,-3.91627782457,-4.21678232626
1332,Great,0.800754531118,8.68969856369,-10.280493654
1342,Flitwick,1.5773192406,-5.66820037016,-0.455228761607
1347,Yeah,-2.52134586386,-12.3554239992,-4.78303739923
1359,Take,-1.65022909621,-4.78574645233,11.4356511797
1362,Sorcerer,-1.98780080692,-15.9185400673,-5.54864624694
1374,Voldemort,10.3218594188,-10.3621878875,-8.17175239613
1384,Course,10.7285784252,-8.80258444233,-0.28956813603
1393,Privet,8.61089145721,14.3721043951,-5.0075004117
1394,Should,-7.70303902882,-12.7887262478,-12.0561733825
1396,Only,-9.55072680662,-4.8997949182,4.83898074856
1413,Charlie,-0.987087224044,-13.1195313203,-7.23759866482
1418,Someone,-5.26016544008,7.28422430811,11.7440450986
1425,Fluffy,10.8205725387,-8.72040279328,-8.91068311547
1428,Nine,3.38691176828,0.894180554177,9.09109936837
1432,Devil,-6.05464504268,-5.110418112,4.52721416178
1433,Parvati,-15.5951665841,-5.23688724294,-10.5538525082
1436,Things,8.36592953626,-10.3298522856,2.77276945532
1440,Too,-1.10085363416,-2.68880773772,9.97599474536
1448,OUT,-1.01426307642,-7.65111549871,10.1190877728
1459,Seamus,8.89936413407,13.6002184426,6.11334231477
1465,Wood,-4.4457119335,2.00560968407,-1.2434735773
1471,Funny,0.509714056674,-10.2840002796,8.74787902171
1487,Albus,9.56810223685,-1.53440725555,-4.97739266998
1504,Binns,5.16169864159,3.3741681656,6.00450631259
1513,Slytherins,-5.33350960034,16.7860135534,7.43030437203
1528,Keeper,11.3308641517,-3.53727794928,8.16755226336
1551,Thanks,-3.88275103926,8.47688588902,8.6164491747
1552,die,-1.84944350424,-14.5291544063,-3.45446909523
